trade_id,symbol,account,trade_date,side,quantity,price,venue,trade_type,signed_qty,notional,fee,settlement_date
T100145,AAPL,ACC2,2023-03-01,BUY,2548,867.2,BATS,VWAP,2548,2209625.6,899.73,2023-03-02
T100164,AAPL,ACC2,2023-03-01,SELL,3604,244.05,ARCA,REG,-3604,879556.2000000001,358.14,2023-03-02
T100211,AMZN,ACC1,2023-03-01,SELL,351,945.42,NYSE,REG,-351,331842.42,135.12,2023-03-02
T100066,AMZN,ACC3,2023-03-01,SELL,2132,532.07,ARCA,MOO,-2132,1134373.24,461.9,2023-03-02
T100243,GOOGL,ACC1,2023-03-01,SELL,1343,170.58,ARCA,MOO,-1343,229088.94,93.28,2023-03-02
T100161,GOOGL,ACC2,2023-03-01,SELL,4187,881.49,NASDAQ,MOC,-4187,3690798.63,1502.84,2023-03-02
T100085,GOOGL,ACC3,2023-03-01,SELL,2213,886.51,NASDAQ,MOO,-2213,1961846.63,798.83,2023-03-02
T100063,JPM,ACC1,2023-03-01,SELL,584,410.32,NASDAQ,MOO,-584,239626.88,97.57,2023-03-02
T100026,JPM,ACC2,2023-03-01,BUY,3291,799.44,NASDAQ,REG,3291,2630957.04,1071.29,2023-03-02
T100158,JPM,ACC2,2023-03-01,BUY,3462,884.0,ARCA,VWAP,3462,3060408.0,1246.15,2023-03-02
T100131,META,ACC2,2023-03-01,BUY,3472,701.8,NASDAQ,VWAP,3472,2436649.5999999996,992.17,2023-03-02
T100137,MSFT,ACC1,2023-03-01,BUY,337,991.65,BATS,MOO,337,334186.05,136.08,2023-03-02
T100127,MSFT,ACC2,2023-03-01,SELL,3461,740.51,NYSE,MOO,-3461,2562905.11,1043.58,2023-03-02
T100181,MSFT,ACC2,2023-03-01,SELL,4233,443.6,BATS,REG,-4233,1877758.8,764.59,2023-03-02
T100109,NVDA,ACC1,2023-03-01,SELL,4534,501.36,NASDAQ,REG,-4534,2273166.24,925.6,2023-03-02
T100111,NVDA,ACC1,2023-03-01,BUY,295,899.49,NASDAQ,REG,295,265349.55,108.05,2023-03-02
T100209,NVDA,ACC2,2023-03-01,BUY,4693,175.76,ARCA,MOO,4693,824841.6799999999,335.86,2023-03-02
T100086,NVDA,ACC3,2023-03-01,BUY,3130,608.78,BATS,MOO,3130,1905481.4,775.88,2023-03-02
T100204,NVDA,ACC3,2023-03-01,SELL,2185,825.08,BATS,MOO,-2185,1802799.8,734.07,2023-03-02
T100199,SPY,ACC3,2023-03-01,BUY,3190,457.04,ARCA,MOO,3190,1457957.6,593.66,2023-03-02
T100177,TSLA,ACC2,2023-03-01,SELL,4698,822.31,ARCA,VWAP,-4698,3863212.38,1573.04,2023-03-02
T100261,TSLA,ACC2,2023-03-01,SELL,948,339.41,BATS,MOO,-948,321760.68000000005,131.02,2023-03-02
T100259,TSLA,ACC3,2023-03-01,SELL,1250,177.61,NYSE,VWAP,-1250,222012.50000000003,90.4,2023-03-02
T100040,XOM,ACC1,2023-03-01,SELL,4156,580.98,BATS,MOC,-4156,2414552.88,983.17,2023-03-02
T100043,XOM,ACC1,2023-03-01,SELL,3378,668.42,ARCA,VWAP,-3378,2257922.76,919.39,2023-03-02
T100136,XOM,ACC1,2023-03-01,BUY,2500,896.59,BATS,REG,2500,2241475.0,912.69,2023-03-02
T100256,XOM,ACC1,2023-03-01,BUY,1534,262.59,BATS,VWAP,1534,402813.05999999994,164.02,2023-03-02
T100176,AAPL,ACC1,2023-03-02,SELL,1397,0.2889,NYSE,REG,-1397,403.5933,16.43,2023-03-03
T100193,AAPL,ACC1,2023-03-02,BUY,3440,484.1,NYSE,MOO,3440,1665304.0,678.09,2023-03-03
T100083,AAPL,ACC2,2023-03-02,SELL,4767,596.78,ARCA,REG,-4767,2844850.26,1158.38,2023-03-03
T100215,AAPL,ACC2,2023-03-02,BUY,4836,829.4,NYSE,MOC,4836,4010978.4,1633.21,2023-03-03
T100276,AAPL,ACC2,2023-03-02,BUY,3014,754.18,NYSE,VWAP,3014,2273098.52,925.57,2023-03-03
T100130,AMZN,ACC1,2023-03-02,BUY,1833,24.98,NYSE,REG,1833,45788.340000000004,18.64,2023-03-03
T100167,AMZN,ACC1,2023-03-02,SELL,4812,565.06,NASDAQ,MOC,-4812,2719068.7199999997,1107.16,2023-03-03
T100192,GOOGL,ACC1,2023-03-02,BUY,1314,714.4,NASDAQ,VWAP,1314,938721.6,382.23,2023-03-03
