trade_date,symbol,trade_count,total_quantity,net_qty,total_notional,avg_price
2023-03-01,AAPL,2,6152,-1056,3089181.8000000003,555.625
2023-03-01,AMZN,2,2483,-2483,1466215.66,738.745
2023-03-01,GOOGL,3,7743,-7743,5881734.199999999,646.1933333333333
2023-03-01,JPM,3,7337,6169,5930991.92,697.9200000000001
2023-03-01,META,1,3472,3472,2436649.5999999996,701.8
2023-03-01,MSFT,3,8031,-7357,4774849.96,725.2533333333334
2023-03-01,NVDA,5,14837,1399,7071638.67,602.094
2023-03-01,SPY,1,3190,3190,1457957.6,457.04
2023-03-01,TSLA,3,6896,-6896,4406985.56,446.4433333333333
2023-03-01,XOM,4,11568,-3500,7316763.699999999,602.145
2023-03-02,AAPL,5,17454,5126,10794634.7733,532.94978
2023-03-02,AMZN,2,6645,-2979,2764857.0599999996,295.02
2023-03-02,GOOGL,4,12127,-2701,6865389.08,534.09
2023-03-02,JPM,3,11688,-6782,7081778.18,640.3066666666667
2023-03-02,META,4,11646,11646,9072465.22,787.13
2023-03-02,MSFT,3,6743,-2179,4639877.64,657.4233333333333
2023-03-02,SPY,2,6038,-6038,461253.14,75.96000000000001
2023-03-02,TSLA,2,3660,-2732,2785249.2,767.995
2023-03-03,AAPL,3,6565,-6565,2680141.82,492.1333333333334
2023-03-03,AMZN,2,7024,-548,2952095.12,428.28999999999996
2023-03-03,GOOGL,4,8814,5504,5027248.45,603.5024999999999
2023-03-03,JPM,2,7920,550,4673955.55,585.9649999999999
2023-03-03,META,2,5753,-1411,5302412.1,910.105
2023-03-03,MSFT,4,14682,-166,8039138.59,551.685
2023-03-03,NVDA,3,7528,-7528,3662258.32,399.59666666666664
2023-03-03,SPY,3,3044,254,1094574.94,253.1766666666667
2023-03-03,TSLA,2,5218,4126,196878.62,69.58500000000001
2023-03-03,XOM,3,9625,-1051,1812834.23,142.45666666666668
2023-03-04,AAPL,1,2000,2000,807600.0,403.8
2023-03-04,AMZN,2,4029,-4029,3315690.09,822.98
2023-03-04,GOOGL,1,2342,-2342,644120.2599999999,275.03
2023-03-04,JPM,3,7410,-656,4378014.82,505.26666666666665
2023-03-04,META,3,10648,3190,8644229.88,797.1999999999999
2023-03-04,MSFT,2,2864,-2864,2550636.48,918.1700000000001
2023-03-04,NVDA,2,6205,6205,3144361.4,537.53
