symbol,position_t0,position_t1,net_qty,corp_shares,corp_action_missing,delta_pos,expected_delta,recon_diff,status
AAPL,18414,26181,11329.0,0.0,False,7767,11329.0,-3562.0,MISMATCH
AMZN,8833,19205,5861.0,0.0,False,10372,5861.0,4511.0,MISMATCH
GOOGL,22902,9149,666.0,0.0,False,-13753,666.0,-14419.0,MISMATCH
JPM,18553,14619,-127.0,0.0,True,-3934,-127.0,-3807.0,MISMATCH
META,8193,45583,31813.0,-150.0,False,37390,31663.0,5727.0,MISMATCH
MSFT,9693,1002,-8691.0,0.0,True,-8691,-8691.0,0.0,MATCH
NVDA,6644,14667,-928.0,100.0,False,8023,-828.0,8851.0,MISMATCH
SPY,14737,15564,577.0,0.0,False,827,577.0,250.0,MISMATCH
TSLA,19542,16950,-7390.0,0.0,False,-2592,-7390.0,4798.0,MISMATCH
XOM,7307,-12424,-7177.0,0.0,False,-19731,-7177.0,-12554.0,MISMATCH
ZZZZ,0,500,0.0,0.0,True,500,0.0,500.0,MISMATCH
