symbol,trade_count,total_quantity,net_qty,total_notional,avg_price
AAPL,32,88307,11329,45834786.8333,503.027465625
AMZN,26,58215,5861,29592730.32,557.065
GOOGL,29,77946,666,43328126.1157,558.0165413793103
JPM,21,57319,-127,29349113.9,474.27476190476193
META,29,75487,31813,46506061.0624,598.6802620689655
MSFT,23,63895,-8691,36576825.5484,578.2423652173912
NVDA,30,68594,-928,27634077.91,446.0776666666667
SPY,20,53425,577,22728917.52,403.498
TSLA,20,48666,-7390,22439494.0258,453.806765
XOM,23,67511,-7177,35834440.45,519.2121739130434
